date,pubkv.utm_campaign,pubkv.utm_medium,avg_cpm,avg_win_rate,impressions,revenue
2020-01-19,snap00002chain-pr-all,jcwlsnap,0.46567727854147245,0.7960630933887486,7838032,3649.9934108809744
2020-01-19,snap00002chain-pr-all,wlsnap,0.4221050438173507,0.7763937920468927,45039,19.011189068489657
2020-01-19,632302,ssnsnap,0.39399001980565573,0.7695131747588589,2659024,1047.628918423714
2020-01-19,632302,jcwlsnap,0.40149831410019293,0.7648076254928322,132398,53.15757379023734
2020-01-19,snap00001jcwlsnp005v2a-nopre,jcwlsnap,0.42193366633207724,0.7569146844858423,2436626,1028.0945416600641
2020-01-19,snap00002wlsnp-002a-pr,wlsnap,0.4612390705771571,0.8293614512559317,1552035,715.859180903218
2020-01-19,12111049,snapnc,0.5258869514272139,0.8020729090953781,1139172,599.0756902312421
2020-01-19,12111076,snapnc,0.36111732487103415,0.7646309590186786,573920,207.2524550899839
2020-01-19,52491historicbirth_1_14-pr,amwsnap,0.545209670259193,0.8535376639219274,511524,278.8878313696634
2020-01-19,12111073,snapnc,0.36813717556736864,0.729802095947639,477302,175.71261017265618
2020-01-19,snap00001chain-mba-gl,jcwlsnap,0.41602970675636664,0.798249529985281,392009,163.08738931585654
2020-01-19,snap00001chain-mba-gl,wlsnap,0,0,4,0
2020-01-19,snap00001chain-ios-pr,wlsnap,0.4394872274753834,0.7507124533410505,203873,89.59957952708884
2020-01-19,snap00001chain-ios-pr,jcwlsnap,0.365448454509555,0.7663838151397478,166872,60.98311450091846
2020-01-19,12111087,snapnc,0.5988431953096736,0.8403803909051651,319566,191.36992455233113
2020-01-19,631278 ,Drew,0.893098835681294,0.9989520217861386,270998,242.02799827195932
2020-01-19,631278 ,drew,0.6699204704415583,1,231,0.15475162867199999
2020-01-19,632366,SNAPJCMIRA,0.6103672833101763,0.8738819982660898,229539,140.10309584373456
2020-01-19,Figures-3CO44-Catalina-preznasnap-WLS2-USMOB-AN-Yuri,cpc,0.40854807591681275,0.9520212624059519,202423,82.69952717130899
2020-01-19,rareaug01,promonte,0.4273655006602113,0.8614368290668869,175595,75.0432450884298
2020-01-19,12111088,snapnc,0.5683494656078527,0.8422054550639302,129751,73.7439115120845
2020-01-19,preznasnap-WLS-USMOB-TippiAfrica-2-Yuri-ZS,cpc,0.48296494098055875,0.9752597897169671,114227,55.16763631338628
2020-01-19,560445,None,0.32055107742502703,0.8559283743936079,84104,26.959627815754473
2020-01-19,631277 ,drew,0.8880101826291243,0.9995084165052882,67130,59.612123559893114
2020-01-19,632865,jcwlsnap,0.3635260332611691,0.754161112819987,58518,21.272816414377097
2020-01-19,SSNTOBFIFTHGRADEQZDT0107,AMWTB,1.7264291098294815,0.9997069117114632,58003,100.13806765743942
2020-01-19,TBZONSHCARSTPDTZ0113V1,TBZON,0.4219413725088527,0.9909316698434703,51939,21.915212946737302
2020-01-19,631302 ,Drew,0.7104412431500831,0.999580938697318,50112,35.601631576736956
2020-01-19,630377,jcsnap,0.39359130636149925,0.8699688433903479,47181,18.570031425441897
2020-01-19,631891,snapnvh,0.438487816241414,0.7815257976917854,47136,20.668561706355288
2020-01-19,631962 ,DREW,0.8874955817948412,0.9849139393391084,44213,39.23884215789531
2020-01-19,631962 ,drew,0.8104663532808398,1,381,0.3087876806
2020-01-19,632843,none,0.4739912612760244,0.9719765197812802,24872,11.78911065045728
2020-01-19,632843,jcwlsnap,0.3564454907740569,0.7794269559071386,18393,6.556101911807229
2020-01-19,632845,none,0.4595456364578657,0.8862879414196292,42335,19.454864519443746
2020-01-19,TBZONKYAMPRGDOGDTSPNSH0115V2,TBZON,0.34056123172213726,0.9856623972471803,41848,14.251806425107999
2020-01-19,TBZONKYUSDEWALL0108,TBZON,0.7961869036015273,0.9963316946572505,40073,31.905597788024007
2020-01-19,TBZONKYUSDEWALL0108,None,0.131,0.6,10,0.00131
2020-01-19,snap00002jcwlsnp003a,jcsnap,0.3904786447478627,0.7733446519524618,38874,15.179466835928416
2020-01-19,632844,none,0.5096678212885993,0.9633105125426238,37831,19.281243347169003
2020-01-19,632862,snapdayt,0.36998313904210833,0.9202612226978378,36444,13.483665519250597
2020-01-19,632862,None,0.27678660339332056,0.9191564147627417,569,0.1574915773307994
2020-01-19,12111089,snapnc,0.4879028727623675,0.8440199050506206,34966,17.06001184900894
2020-01-19,632846,none,0.5448680197450183,0.973628230905965,34317,18.69823583358979
2020-01-19,632846,None,0.4502974515742533,0.803030303030303,66,0.029719631803900717
2020-01-19,631965 ,DREW,0.6334969652123003,0.9665044191110542,31228,19.78284322964971
2020-01-19,631965 ,drew,0.2868688043597241,0.9972413793103448,725,0.2079798831608
2020-01-19,632059 ,AMWTB,1.1727465795640395,0.9367144155722033,31903,37.41413412783155
2020-01-19,631964 ,DREW,0.9409663151591444,0.9975124378109452,30954,29.126671319436156
2020-01-19,631961 ,DREW,0.8362706719337626,0.9501855318031064,30453,25.46695077239887
2020-01-19,632863,snapdayt,0.2581278547623712,0.8622799013146778,29589,7.637745094563801
2020-01-19,631960 ,DREW,0.6512404932908361,0.9586709055481489,29253,19.05073815023683
2020-01-19,DogProtectsBaby-1CO44-Catalina-preznasnap-WLS2-USMOB-AN-Yuri,cpc,0.6834620088867152,0.9212416919589689,26029,17.78983262931231
2020-01-19,TBZONKYUSCPLTIMEDTAllZ102V1,TBZON,0.6607325943654092,0.9748891001267427,25248,16.68217654253785
2020-01-19,ZMZONZMUSCONFUSED4,ZMZON,0.9063010835630418,0.9932329275840727,24235,21.96420676015032
