date,pubkv.utm_campaign,pubkv.utm_medium,avg_cpm,avg_win_rate,impressions,revenue
2020-01-19,TBZONKYUSACTDTAllZ0108v3,TBZON,0.8294169211656441,0.9877300613496932,163,0.13519495815
2020-01-19,632697,none,0.3890864197530864,0.9259259259259259,162,0.06303199999999999
2020-01-19,TBZONKYUS80STARDTAllZ102V1,TBZON,0.3299827086419753,0.9753086419753086,162,0.0534571988
2020-01-19,RCZONKYUSHLVOICEDTAllZ0114V1,RCZON,1.043284148427673,0.8616352201257862,159,0.1658821796
2020-01-19,632700,none,0.43230242038216565,0.8535031847133758,157,0.06787148000000001
2020-01-19,632682,none,0.4459547741935484,0.8387096774193549,155,0.06912299
2020-01-19,ZMZONZMUSHISTORICBIRTH1,ZMZON,0.7823963711038961,0.7727272727272727,154,0.12048904115
2020-01-19,TBZONSHUSBCBDTZ0116V1,TBZON,0.48372028733552636,0.9605263157894737,152,0.073525483675
2020-01-19,632867,snapdayt,0.24412413245033113,0.7218543046357616,151,0.036862743999999996
2020-01-19,ZMZONZMUSPASTOR2,ZMZON,0.4922566653333333,0.6666666666666666,150,0.0738384998
2020-01-19,1191099,snapme,0.33057074999999997,0.9375,144,0.047602188
2020-01-19,SSNTOBROYALSTEPDT0107,AMWTB,0.5753943847122303,0.8273381294964028,139,0.079979819475
2020-01-19,632698,none,0.2567505851851851,0.8888888888888888,135,0.034661329
2020-01-19,632705,none,0.4462782107692308,0.9461538461538461,130,0.0580161674
2020-01-19,RCZONKYUS70STARSPAZ0115V1,RCZON,0.32374142635658915,0.8449612403100775,129,0.041762644
2020-01-19,RCZONKYUSBIGHOLEDTAllZ0115V1,RCZON,0.5365928,0.944,125,0.0670741
2020-01-19,TBZONSHUSCOUPLEPICSPAZ0112V5,TBZON,0.2522156103356788,0.6935483870967742,124,0.03127473568162417
2020-01-19,TBZONKYUSBIGHOLEDTAZ0115,TBZON,0.38601936585365854,0.7560975609756098,123,0.047480382
2020-01-19,632704,none,0.24475786440677966,0.847457627118644,118,0.028881428
2020-01-19,TBZONKYUSPRGDOGDTAllZ0108V2,TBZON,1.0803291925847458,0.9915254237288136,118,0.127478844725
2020-01-19,snap00030chain-pr-all,jcwlsnap,0.032905982905982914,0.17094017094017094,117,0.0038500000000000006
